============================================================
         RAPORT KARNETOW - KOLEJ LINOWA
============================================================

PRZEJSCIA PRZEZ BRAMKI (ID KARNETU - GODZINA):
Karnet #88 - Bramka #2 - 11:42:42
Karnet #91 - Bramka #1 - 11:42:43
Karnet #94 - Bramka #4 - 11:42:46
Karnet #92 - Bramka #2 - 11:42:46
Karnet #98 - Bramka #3 - 11:42:48
Karnet #93 - Bramka #1 - 11:42:48
Karnet #97 - Bramka #3 - 11:42:49
Karnet #95 - Bramka #1 - 11:42:49
Karnet #96 - Bramka #1 - 11:42:49
Karnet #99 - Bramka #2 - 11:42:50
Karnet #100 - Bramka #1 - 11:42:50
Karnet #101 - Bramka #1 - 11:42:51
Karnet #102 - Bramka #4 - 11:42:52
Karnet #103 - Bramka #1 - 11:42:53
Karnet #104 - Bramka #3 - 11:42:53
Karnet #105 - Bramka #2 - 11:42:53
Karnet #106 - Bramka #1 - 11:42:53
Karnet #108 - Bramka #4 - 11:43:03
Karnet #107 - Bramka #2 - 11:43:03
Karnet #111 - Bramka #4 - 11:43:04
Karnet #110 - Bramka #2 - 11:43:04
Karnet #112 - Bramka #2 - 11:43:05
Karnet #109 - Bramka #4 - 11:43:08
Karnet #113 - Bramka #3 - 11:43:08
Karnet #114 - Bramka #2 - 11:43:08
Karnet #115 - Bramka #2 - 11:43:10
Karnet #116 - Bramka #1 - 11:43:10
Karnet #117 - Bramka #1 - 11:43:10
Karnet #119 - Bramka #3 - 11:43:12
Karnet #120 - Bramka #4 - 11:43:12
Karnet #118 - Bramka #4 - 11:43:14
Karnet #122 - Bramka #4 - 11:43:14
Karnet #123 - Bramka #4 - 11:43:14
Karnet #121 - Bramka #4 - 11:43:14
Karnet #126 - Bramka #1 - 11:43:14
Karnet #125 - Bramka #2 - 11:43:16
Karnet #124 - Bramka #3 - 11:43:16
Karnet #130 - Bramka #2 - 11:43:16
Karnet #128 - Bramka #3 - 11:43:16
Karnet #129 - Bramka #1 - 11:43:16
Karnet #127 - Bramka #3 - 11:43:16
Karnet #131 - Bramka #3 - 11:43:19
Karnet #134 - Bramka #4 - 11:43:23
Karnet #132 - Bramka #1 - 11:43:23
Karnet #133 - Bramka #4 - 11:43:23
Karnet #135 - Bramka #1 - 11:43:23
Karnet #137 - Bramka #2 - 11:43:25
Karnet #136 - Bramka #1 - 11:43:25
Karnet #138 - Bramka #4 - 11:43:26
Karnet #139 - Bramka #3 - 11:43:31
Karnet #140 - Bramka #3 - 11:43:33
Karnet #141 - Bramka #3 - 11:43:35
Karnet #143 - Bramka #1 - 11:43:36
Karnet #144 - Bramka #4 - 11:43:36
Karnet #142 - Bramka #2 - 11:43:36
Karnet #150 - Bramka #1 - 11:43:36
Karnet #155 - Bramka #1 - 11:43:38
Karnet #152 - Bramka #2 - 11:43:41
Karnet #146 - Bramka #4 - 11:43:43
Karnet #148 - Bramka #4 - 11:43:43
Karnet #154 - Bramka #2 - 11:43:43
Karnet #145 - Bramka #4 - 11:43:43
Karnet #161 - Bramka #1 - 11:43:44
Karnet #157 - Bramka #1 - 11:43:44
Karnet #147 - Bramka #3 - 11:43:44
Karnet #151 - Bramka #4 - 11:43:44
Karnet #156 - Bramka #2 - 11:43:47
Karnet #159 - Bramka #1 - 11:43:48
Karnet #158 - Bramka #4 - 11:43:49
Karnet #162 - Bramka #3 - 11:43:51
Karnet #149 - Bramka #3 - 11:43:51
Karnet #165 - Bramka #3 - 11:43:52
Karnet #164 - Bramka #4 - 11:43:52
Karnet #163 - Bramka #2 - 11:43:52
Karnet #153 - Bramka #1 - 11:43:52
Karnet #160 - Bramka #3 - 11:43:52
Karnet #166 - Bramka #2 - 11:43:52
Karnet #167 - Bramka #1 - 11:43:54
Karnet #168 - Bramka #3 - 11:43:55
Karnet #169 - Bramka #3 - 11:43:55
Karnet #171 - Bramka #1 - 11:43:55
Karnet #170 - Bramka #2 - 11:43:55
Karnet #172 - Bramka #4 - 11:44:01
Karnet #174 - Bramka #1 - 11:44:07
Karnet #175 - Bramka #3 - 11:44:07
Karnet #173 - Bramka #3 - 11:44:07
Karnet #176 - Bramka #2 - 11:44:22
Karnet #177 - Bramka #4 - 11:44:24
Karnet #178 - Bramka #2 - 11:44:25
Karnet #179 - Bramka #3 - 11:44:26
Karnet #180 - Bramka #2 - 11:44:27
Karnet #181 - Bramka #3 - 11:44:27
Karnet #182 - Bramka #3 - 11:44:27
Karnet #185 - Bramka #3 - 11:44:28
Karnet #183 - Bramka #2 - 11:44:31
Karnet #188 - Bramka #1 - 11:44:32
Karnet #184 - Bramka #3 - 11:44:37
Karnet #186 - Bramka #1 - 11:44:37
Karnet #189 - Bramka #1 - 11:44:37
Karnet #187 - Bramka #1 - 11:44:38
Karnet #190 - Bramka #4 - 11:44:41
Karnet #192 - Bramka #3 - 11:44:41
Karnet #191 - Bramka #3 - 11:44:41
Karnet #193 - Bramka #2 - 11:44:43
Karnet #194 - Bramka #4 - 11:44:44
Karnet #196 - Bramka #4 - 11:44:46
Karnet #195 - Bramka #1 - 11:44:46
Karnet #197 - Bramka #4 - 11:44:53
Karnet #198 - Bramka #2 - 11:44:57
Karnet #199 - Bramka #4 - 11:44:57
Karnet #201 - Bramka #2 - 11:45:00
Karnet #200 - Bramka #4 - 11:45:00
Karnet #202 - Bramka #2 - 11:45:04
Karnet #203 - Bramka #2 - 11:45:05
Karnet #204 - Bramka #2 - 11:45:06
Karnet #205 - Bramka #2 - 11:45:08
Karnet #206 - Bramka #4 - 11:45:09
Karnet #48 - Bramka #4 - 11:45:11
Karnet #207 - Bramka #4 - 11:45:14
Karnet #208 - Bramka #1 - 11:45:15
Karnet #209 - Bramka #4 - 11:45:19
Karnet #210 - Bramka #3 - 11:45:19
Karnet #211 - Bramka #1 - 11:45:20
Karnet #213 - Bramka #4 - 11:45:21
Karnet #212 - Bramka #3 - 11:45:21
Karnet #214 - Bramka #1 - 11:45:21
Karnet #218 - Bramka #4 - 11:45:29
Karnet #215 - Bramka #3 - 11:45:36
Karnet #217 - Bramka #2 - 11:45:36
Karnet #216 - Bramka #1 - 11:45:36
Karnet #222 - Bramka #4 - 11:45:36

============================================================

PODSUMOWANIE LICZBY PRZEJAZDOW PER KARNET:
------------------------------------------------------------
Karnet #1: 1 przejazd(ow)
Karnet #2: 1 przejazd(ow)
Karnet #3: 1 przejazd(ow)
Karnet #4: 2 przejazd(ow)
Karnet #5: 1 przejazd(ow)
Karnet #6: 1 przejazd(ow)
Karnet #7: 2 przejazd(ow)
Karnet #8: 1 przejazd(ow)
Karnet #9: 1 przejazd(ow)
Karnet #10: 1 przejazd(ow)
Karnet #11: 1 przejazd(ow)
Karnet #12: 1 przejazd(ow)
Karnet #13: 1 przejazd(ow)
Karnet #14: 1 przejazd(ow)
Karnet #15: 1 przejazd(ow)
Karnet #16: 1 przejazd(ow)
Karnet #17: 1 przejazd(ow)
Karnet #18: 1 przejazd(ow)
Karnet #19: 1 przejazd(ow)
Karnet #20: 1 przejazd(ow)
Karnet #21: 1 przejazd(ow)
Karnet #22: 1 przejazd(ow)
Karnet #23: 1 przejazd(ow)
Karnet #24: 1 przejazd(ow)
Karnet #25: 1 przejazd(ow)
Karnet #26: 1 przejazd(ow)
Karnet #27: 1 przejazd(ow)
Karnet #28: 1 przejazd(ow)
Karnet #29: 1 przejazd(ow)
Karnet #30: 1 przejazd(ow)
Karnet #31: 1 przejazd(ow)
Karnet #32: 1 przejazd(ow)
Karnet #33: 1 przejazd(ow)
Karnet #34: 1 przejazd(ow)
Karnet #35: 1 przejazd(ow)
Karnet #36: 1 przejazd(ow)
Karnet #37: 1 przejazd(ow)
Karnet #38: 1 przejazd(ow)
Karnet #39: 1 przejazd(ow)
Karnet #40: 1 przejazd(ow)
Karnet #41: 1 przejazd(ow)
Karnet #42: 1 przejazd(ow)
Karnet #43: 1 przejazd(ow)
Karnet #44: 1 przejazd(ow)
Karnet #45: 1 przejazd(ow)
Karnet #46: 1 przejazd(ow)
Karnet #47: 1 przejazd(ow)
Karnet #48: 2 przejazd(ow)
Karnet #49: 1 przejazd(ow)
Karnet #50: 1 przejazd(ow)
Karnet #51: 1 przejazd(ow)
Karnet #52: 1 przejazd(ow)
Karnet #53: 1 przejazd(ow)
Karnet #54: 1 przejazd(ow)
Karnet #55: 1 przejazd(ow)
Karnet #56: 1 przejazd(ow)
Karnet #57: 1 przejazd(ow)
Karnet #58: 1 przejazd(ow)
Karnet #59: 1 przejazd(ow)
Karnet #60: 1 przejazd(ow)
Karnet #61: 1 przejazd(ow)
Karnet #62: 1 przejazd(ow)
Karnet #63: 1 przejazd(ow)
Karnet #64: 1 przejazd(ow)
Karnet #65: 1 przejazd(ow)
Karnet #66: 1 przejazd(ow)
Karnet #67: 1 przejazd(ow)
Karnet #68: 1 przejazd(ow)
Karnet #69: 1 przejazd(ow)
Karnet #70: 1 przejazd(ow)
Karnet #71: 1 przejazd(ow)
Karnet #72: 1 przejazd(ow)
Karnet #73: 1 przejazd(ow)
Karnet #74: 1 przejazd(ow)
Karnet #75: 1 przejazd(ow)
Karnet #76: 1 przejazd(ow)
Karnet #77: 1 przejazd(ow)
Karnet #78: 1 przejazd(ow)
Karnet #79: 1 przejazd(ow)
Karnet #80: 1 przejazd(ow)
Karnet #81: 1 przejazd(ow)
Karnet #82: 1 przejazd(ow)
Karnet #83: 1 przejazd(ow)
Karnet #84: 1 przejazd(ow)
Karnet #85: 1 przejazd(ow)
Karnet #86: 1 przejazd(ow)
Karnet #87: 1 przejazd(ow)
Karnet #88: 1 przejazd(ow)
Karnet #89: 1 przejazd(ow)
Karnet #90: 1 przejazd(ow)
Karnet #91: 1 przejazd(ow)
Karnet #92: 1 przejazd(ow)
Karnet #93: 1 przejazd(ow)
Karnet #94: 1 przejazd(ow)
Karnet #95: 1 przejazd(ow)
Karnet #96: 1 przejazd(ow)
Karnet #97: 1 przejazd(ow)
Karnet #98: 1 przejazd(ow)
Karnet #99: 1 przejazd(ow)
Karnet #100: 1 przejazd(ow)
Karnet #101: 1 przejazd(ow)
Karnet #102: 1 przejazd(ow)
Karnet #103: 1 przejazd(ow)
Karnet #104: 1 przejazd(ow)
Karnet #105: 1 przejazd(ow)
Karnet #106: 1 przejazd(ow)
Karnet #107: 1 przejazd(ow)
Karnet #108: 1 przejazd(ow)
Karnet #109: 1 przejazd(ow)
Karnet #110: 1 przejazd(ow)
Karnet #111: 1 przejazd(ow)
Karnet #112: 1 przejazd(ow)
Karnet #113: 1 przejazd(ow)
Karnet #114: 1 przejazd(ow)
Karnet #115: 1 przejazd(ow)
Karnet #116: 1 przejazd(ow)
Karnet #117: 1 przejazd(ow)
Karnet #118: 1 przejazd(ow)
Karnet #119: 1 przejazd(ow)
Karnet #120: 1 przejazd(ow)
Karnet #121: 1 przejazd(ow)
Karnet #122: 1 przejazd(ow)
Karnet #123: 1 przejazd(ow)
Karnet #124: 1 przejazd(ow)
Karnet #125: 1 przejazd(ow)
Karnet #126: 1 przejazd(ow)
Karnet #127: 1 przejazd(ow)
Karnet #128: 1 przejazd(ow)
Karnet #129: 1 przejazd(ow)
Karnet #130: 1 przejazd(ow)
Karnet #131: 1 przejazd(ow)
Karnet #132: 1 przejazd(ow)
Karnet #133: 1 przejazd(ow)
Karnet #134: 1 przejazd(ow)
Karnet #135: 1 przejazd(ow)
Karnet #136: 1 przejazd(ow)
Karnet #137: 1 przejazd(ow)
Karnet #138: 1 przejazd(ow)
Karnet #139: 1 przejazd(ow)
Karnet #140: 1 przejazd(ow)
Karnet #141: 1 przejazd(ow)
Karnet #142: 1 przejazd(ow)
Karnet #143: 1 przejazd(ow)
Karnet #144: 1 przejazd(ow)
Karnet #145: 1 przejazd(ow)
Karnet #146: 1 przejazd(ow)
Karnet #147: 1 przejazd(ow)
Karnet #148: 1 przejazd(ow)
Karnet #149: 1 przejazd(ow)
Karnet #150: 1 przejazd(ow)
Karnet #151: 1 przejazd(ow)
Karnet #152: 1 przejazd(ow)
Karnet #153: 1 przejazd(ow)
Karnet #154: 1 przejazd(ow)
Karnet #155: 1 przejazd(ow)
Karnet #156: 1 przejazd(ow)
Karnet #157: 1 przejazd(ow)
Karnet #158: 1 przejazd(ow)
Karnet #159: 1 przejazd(ow)
Karnet #160: 1 przejazd(ow)
Karnet #161: 1 przejazd(ow)
Karnet #162: 1 przejazd(ow)
Karnet #163: 1 przejazd(ow)
Karnet #164: 1 przejazd(ow)
Karnet #165: 1 przejazd(ow)
Karnet #166: 1 przejazd(ow)
Karnet #167: 1 przejazd(ow)
Karnet #168: 1 przejazd(ow)
Karnet #169: 1 przejazd(ow)
Karnet #170: 1 przejazd(ow)
Karnet #171: 1 przejazd(ow)
Karnet #172: 1 przejazd(ow)
Karnet #173: 1 przejazd(ow)
Karnet #174: 1 przejazd(ow)
Karnet #175: 1 przejazd(ow)
Karnet #176: 1 przejazd(ow)
Karnet #177: 1 przejazd(ow)
Karnet #178: 1 przejazd(ow)
Karnet #179: 1 przejazd(ow)
Karnet #180: 1 przejazd(ow)
Karnet #181: 1 przejazd(ow)
Karnet #182: 1 przejazd(ow)
Karnet #183: 1 przejazd(ow)
Karnet #184: 1 przejazd(ow)
Karnet #185: 1 przejazd(ow)
Karnet #186: 1 przejazd(ow)
Karnet #187: 1 przejazd(ow)
Karnet #188: 1 przejazd(ow)
Karnet #189: 1 przejazd(ow)
Karnet #190: 1 przejazd(ow)
Karnet #191: 1 przejazd(ow)
Karnet #192: 1 przejazd(ow)
Karnet #193: 1 przejazd(ow)
Karnet #194: 1 przejazd(ow)
Karnet #195: 1 przejazd(ow)
Karnet #196: 1 przejazd(ow)
Karnet #197: 1 przejazd(ow)
Karnet #198: 1 przejazd(ow)
Karnet #199: 1 przejazd(ow)
Karnet #200: 1 przejazd(ow)
Karnet #201: 1 przejazd(ow)
Karnet #202: 1 przejazd(ow)
Karnet #203: 1 przejazd(ow)
Karnet #204: 1 przejazd(ow)
Karnet #205: 1 przejazd(ow)
Karnet #206: 1 przejazd(ow)
Karnet #207: 1 przejazd(ow)
Karnet #208: 1 przejazd(ow)
Karnet #209: 1 przejazd(ow)
Karnet #210: 1 przejazd(ow)
Karnet #211: 1 przejazd(ow)
Karnet #212: 1 przejazd(ow)
Karnet #213: 1 przejazd(ow)
Karnet #214: 1 przejazd(ow)

============================================================


============================================================
         RAPORT KONCOWY SYMULACJI KOLEI LINOWEJ
============================================================

1. SPRZEDAZ BILETOW:
   Jednorazowe (SINGLE):     50 szt.
   Czasowe TK1 (1h):         55 szt.
   Czasowe TK2 (2h):         60 szt.
   Czasowe TK3 (3h):         55 szt.
   Dzienne (DAILY):          65 szt.
   RAZEM:                    285 szt.

2. STATYSTYKI PRZEJAZDOW:
   Odjazdy krzeselek:        87
   Przewiezione osoby:       234
   - Rowerzysci:             105
   - Piesi:                  129
   Sr. osob/krzeslo:         2.69

3. KATEGORIE SPECJALNE:
   VIP obsluzeni:            2
   Dzieci z opiekunem:       21
   Odrzuceni (wygasly):      60

4. TRASY ZJAZDOWE:
   T1 (latwa, 1s):          48 turystow
   T2 (srednia, 2s):        27 turystow
   T3 (trudna, 3s):         24 turystow
   RAZEM na trasach:         99 turystow

5. PODSUMOWANIE TURYSTOW:
   Utworzonych turystow:     3817
   Zakonczonych wizyt:       3829

============================================================

